course_uid,display_title_ko,display_title_en,primary_course_code,alias_course_codes,participating_departments,tags,credit_hours,lecture_hours,lab_hours,department_context,offered_2025_1,offered_2025_2,description,source_page_first_seen,raw_title_ko,raw_title_en
UG_THESIS_RESEARCH_I,학사논문연구 I,Undergraduate Thesis Research I,AI9102,AI9102|BS9102|CH9102|EC9102|EV9102|MA9102|MC9102|PS9102,공과대학 | 기계로봇공학과|공과대학 | 신소재공학과|공과대학 | 환경·에너지공학과|생명·의과학융합대학 | 생명과학과|자연과학대학 | 물리·광과학과|자연과학대학 | 화학과|정보컴퓨팅대학 | AI융합학과|정보컴퓨팅대학 | 전기전자컴퓨터공학과,THESIS_RESEARCH|THESIS_RESEARCH_I,3.0,,,AI융합학과,False,False,2015학번 이상 학생들의 학사학위 논문을 준비하기 위한 과목으로 논문 지도교수의 승인을 받 은 학사논문연구신청서를 근거로 개별적인 연구를 거쳐 학사학위 논문을 작성하여야 한다.,125,학사논문연구,I Undergraduate Thesis Research I
UG_THESIS_RESEARCH_II,학사논문연구 II,Undergraduate Thesis Research II,AI9103,AI9103|BS9103|CH9103|EC9103|EV9103|MA9103|MC9103|PS9103,공과대학 | 기계로봇공학과|공과대학 | 신소재공학과|공과대학 | 환경·에너지공학과|생명·의과학융합대학 | 생명과학과|자연과학대학 | 물리·광과학과|자연과학대학 | 화학과|정보컴퓨팅대학 | AI융합학과|정보컴퓨팅대학 | 전기전자컴퓨터공학과,THESIS_RESEARCH|THESIS_RESEARCH_II,3.0,,,AI융합학과,False,False,"2015학번 이상 학생들의 최종 학사학위 논문 작성을 위한 과목으로 논문 지도교수의 승인을 받 은 학사논문연구신청서를 근거로 개별적인 연구를 거쳐 학사학위 논문을 작성 및 제출하여 논문 심사에 통과하여야 한다. 가. 학과 개요 AI융합학과는 미래를 선도하는 글로벌 AI혁신인재를 양성하기 위하여, AI의 기초, 심화, 융합, 실증 단계까지의 전문적인 교육을 목표로 한다. 이를 위해 최신 AI의 이론 및 응용 능력을 기르는 AI 특화, 문화기술 융합 특화, 지능형 로봇 융합 특화 교과목들로 구성되어있다. 또한, 대학원과의 연계를 통해 학술 및 산업적으로 최신 기술 습득과 활용, 혁신 경험을 유도한다. 본 학과는 과학기술정보통신부 인공지능대학원 지원사업을 2019년도부터 진행해 오고 있으며, DNA(Data-Network-AI) 전략에 따라 AI산업융합집적단지에 구축될 국내 최대 AI 컴퓨팅 인프라와 실증 테스트베드를 교육/실습 환경과 단계별로 연계하는 실증지향 교육·연구개발을 통하여 현장지향 AI 및 융합 인재를 양성한다. 나. 교과목 개요",125,학사논문연구,II Undergraduate Thesis Research II
MC4214,유체역학 특론 A,Special Topics on Fluid Dynamics A,MC4214,,공과대학 | 기계로봇공학과,,3.0,3.0,0.0,기계로봇공학과,False,False,"이 강좌는 물리학, 수학, 유체역학이 융합된 대학원 수준의 강좌입니다. 유체역학적 안정성의 주요 목적은 거의 모든 공학 분야, 예를 들어 공기역학, 열 및 연소 역학, 그리고 물론 유체역학에 폭넓게 응용되는 기본적인 안정성 이론을 제시하는 것입니다. 최근까지 층류에서 난류로의 경계층 전이는 이론과 실험 모두에서 규명하기 어려운 난제였습니다. 그러나 보다 정확하고 덜 침습적인 최신 측정 기술과 선형 및 비선형 역학에 대한 수치 해석으로 뒷받침되는 첨단 이론을 활용함으로써 이 분야는 지난 수십 년 동안 급속한 발전을 이루었습니다. 이 강좌에서는 먼저 아음속 및 초음속 흐름에 대한 고전적이지만 여전히 최첨단인 선형 안정성 이론에 기반한 전이 예측을 다루고, 이어서 절대 진폭 접근법을 향한 최신 연구 동향을 소개합니다.",167,유체역학 특론,A Special Topics on Fluid Dynamics A
MC4225,동역학 특론 A- 비행 동역학,Special Topics on Dynamics A- Flight Dynamics,MC4225,,공과대학 | 기계로봇공학과,,3.0,3.0,0.0,기계로봇공학과,False,False,"본 강좌는 비행 역학, 즉 대기 중 교란 요인 및 제어 입력에 대한 비행체의 반응을 다룹니다. 학생들은 고정익 항공기의 성능, 안정성 및 제어에 대한 기본적인 이해를 얻게 됩니다. 특히, 공기역학적 힘과 모멘트를 설명하는 지배 관계식에서 안정성 미분 계수의 활용에 중점을 둡니다. 운동 방정식, 선형 시스템 분석, 종방향/횡방향/방향 운동의 안정성 등을 다룹니다. 본 강좌는 학부 고학년 공학 학생 및 대학원 과정 입문자에게 적합합니다. MATLAB을 활용하여 수업을 진행합니다.",169,동역학 특론,A- 비행 동역학 Special Topics on Dynamics A- Flight Dynamics
AI4003,인공지능 경험랩,AI Experience Lab,AI4003,,정보컴퓨팅대학 | AI융합학과,,3.0,1.0,4.0,AI융합학과,False,True,최신 딥러닝 기술을 복습하고 딥러닝 실습을 진행합니다.,128,인공지능 경험랩,AI Experience Lab
AI4031,인공지능 거버넌스와 법,AI Governance & Law,AI4031,,정보컴퓨팅대학 | AI융합학과,,3.0,3.0,0.0,AI융합학과,True,False,"인공지능이 빠르게 발전함에 따라 사회에 미칠 수 있는 잠재적 위험에 대한 우려도 커지고 있습니다. 이에 대응하여 정부, 국제기구, 기업들은 인공지능이 제기하는 문제들을 해결하기 위해 다양한 정책을 적극적으로 추진하고 있습니다. 본 강좌에서는 인공지능으로 인해 발생하는 여러 규범적 문제들을 심층적으로 살펴보고, 신뢰할 수 있는 인공지능을 보장하기 위한 효과적인 규제 거버넌스 시스템을 검토할 것입니다.",128,인공지능 거버넌스와 법,AI Governance & Law
GS2823,수학의 위대한 순간들 – AI,Mathematical Moments – AI,GS2823,,기초교육학부 | GSC,,3.0,3.0,0.0,인문 선택,True,False,"계산(로고스, 미적분, 수론)은 인류가 자연과 사회를 인식하고 이해하는 데 중요한 역할을 해왔습니다. 그 과정에서 계산 방법은 눈부신 발전을 이루었고, 지금도 계속 발전하고 있습니다. 참/거짓이라는 코드를 사용하는 고전적인 이진 시스템은 빅데이터를 분석하고 미래를 예측하는 데 활용됩니다. 또한, 데이터 압축 기술은 수 체계, 로그, 미분 등과 같은 고전적인 개념에서 파생되었습니다. 본 논문에서는 계산이 역사 속에서 어떻게 발전해 왔는지, 현재 어떤 기술들이 사용되고 있는지 살펴보고, 앞으로 어떻게 더 발전해 나갈 수 있을지 논의합니다.",87,수학의 위대한 순간들 –,AI Mathematical Moments – AI
AI4028,AI 산업 전략과 실전 프로젝트,AI Industry Strategy and Practical Projects,AI4028,,정보컴퓨팅대학 | AI융합학과,,3.0,1.0,4.0,AI융합학과,False,True,"이 과정은 100% 프로젝트 기반 학습(PBL) 접근 방식을 채택하여, 'AI 신산업전략의 이해와 사례' 교과목에서 기획된 AI 비즈니스 아이디어를 실제로 실행하는 데 중점을 둠 1) AI 비즈니스 계획을 실행 가능한 프로젝트로 구현하는 능력 개발 2) 문제정의 및 도출, 해결방안, 적용방안 등을 고려한 종합적 기획 능력 개발 3) AI 비즈니스 운영 과정에서 발생하는 문제를 해결하는 능력 배양",128,,AI 산업 전략과 실전 프로젝트 AI Industry Strategy and Practical Projects
IR4310,"인간-AI 상호작용: Special Topics on XR, Physical AI, and Embodied Agents","Human-AI Interaction: Special Topics on XR, Physical AI, and Embedded Agents ",IR4310,,정보컴퓨팅대학 | AI융합학과,,3.0,3.0,0.0,정보컴퓨팅대학 | AI융합학과,False,False,"인공지능(AI)은 물리적 시스템에 점점 더 깊숙이 자리 잡고 있으며, 일상 제품부터 복잡한 전기기계 시스템에 이르기까지 다양한 분야에서 우리의 일상생활에 영향을 미치고 있습니다. 몰입형 기술이 물리적 영역과 디지털 영역을 융합함에 따라, 이러한 AI 기반 시스템을 더욱 향상시킬 수 있는 기회가 생겨나고 있습니다. 본 강좌에서는 이러한 시스템과의 상호작용을 해석 가능하고, 포용적이며, 몰입감 있게 설계하는 데 있어 당면 과제와 기회를 탐구하고, ACM SIGCHI 주요 학술대회 및 저널의 연구를 중심으로 인간-AI ​​상호작용 관련 문헌을 심층적으로 검토합니다.",135,인간-,"AI 상호작용: Special Topics on XR, Physical AI, and Embodied Agents"
AI4801,AI 융합 특론 I,Special Topics on AI Convergence I,AI4801,,정보컴퓨팅대학 | AI융합학과,,3.0,3.0,0.0,AI융합학과,False,False,"AI가 인간의 행복에 기여하게 하기 위해서는 AI의 운영체계보다 인간 자신의 운영체계를 더 잘 이해해야 한다. 본 과목에서는 지성, 감성, 영성이 조화로운 인간다운 인간의 모습과 그 조건을 동서고금의 고전을 통해 살펴보고 토론한다.",129,,AI 융합 특론 I Special Topics on AI Convergence I
AI4802,AI 융합 특론 II,Special Topics on AI Convergence II,AI4802,,정보컴퓨팅대학 | AI융합학과,,2.0,2.0,0.0,AI융합학과,False,False,본 강의에서는 다양한 전문 자료와 매체를 통해 현재까지 개발된 인공지능 분야의 최신 연구 동향과 산업계에서 중시되는 전문 기술에 대한 정보를 소개한다.,129,,AI 융합 특론 IISpecial Topics on AI Convergence II
HS4610,AI-Human 윤리학 기초론,Fundamentals of Ethics for AI-Human,HS4610,,기초교육학부 | PPE,,3.0,3.0,0.0,인문 선택,False,False,"“인간의 본질” 이해하기 위해 먼저 물어야 할 질문은 ‘인간은 무엇을 알 수 있는가’(인식론, 지 식론), ‘인간은 어떻게 행위해야 하는가’(윤리학, 실천론), “인간은 무엇을 희망할 수 있는가”(종교, 예술 등)라는 철학의 근본 질문 중 두 번째 과제가 윤리학이다. 윤리학 기초론은 인간과 인공지능 의 인터페이스가 점차 더 심화되어 가는 현실을 이해하고, 인간다움의 기초를 확보한 바탕 위에서 인공지능을 더욱 현명하게 활용하는 사유의 기반을 확고하게 만들기 위한 기초과목이다.",112,,AI-Human 윤리학 기초론 Fundamentals of Ethics for AI-Human
AI2601,AI로봇개론,Introduction of AI Robotics,AI2601,,정보컴퓨팅대학 | AI융합학과,,3.0,3.0,0.0,AI융합학과,False,False,"본 강의는 로봇의 기초와 관련된 기본적인 수학적 개념부터 시작하여, 폐쇄형 4절 링크 및 6절 링크의 1자유도, 그리고 5절 링크의 2자유도에 대한 역학적 분석을 바탕으로 다양한 로봇 메커니즘을 설계하는 능력을 함양하는 것을 목표로 합니다. 또한, 다자유도 다관절 로봇의 강체 운동, 속도 분석, 정적 분석 등을 수행하고, 로봇 시뮬레이터(예: NVIDIA Isaac Sim)를 활용하여 자율 조작 및 자율 항법 기술을 구현함으로써 이동 로봇, 이동 매니퓰레이터, 사족 로봇, 휴머노이드 로봇 등의 운동학 및 동작 생성 기술을 향상시키는 것을 목표로 합니다.",127,,AI로봇개론 Introduction of AI Robotics
AI3601,핸즈온 AI로봇제작,Hands-on AI Robotics,AI3601,,정보컴퓨팅대학 | AI융합학과,,3.0,2.0,2.0,AI융합학과,False,False,"이 실습 중심 과정은 로봇 자율성의 원리를 심층적으로 다루며, 모델링, 제어, 탐지, 계획 및 의사결정에 중점을 둡니다. 학생들은 한 학기 동안 진행되는 프로젝트에 참여하여 라즈베리 파이와 파이썬을 사용하여 자신만의 로봇을 제작하고 테스트합니다. 인공지능 구현을 통해 학생들은 물리적 인공지능을 실질적으로 구현하는 방법을 배우고, 알고리즘 지능과 실체화된 시스템 간의 격차를 해소할 수 있습니다.",128,핸즈온,AI로봇제작 Hands-on AI Robotics
PS3203,AI시대의 전산물리학 I,Computational Physics in the AI era I,PS3203,,자연과학대학 | 물리·광과학과,,3.0,3.0,0.0,물리·광과학과,False,False,"이 과목은 물리학 연구를 위하여 컴퓨터를 사용하는 능력을 증진시키기 위하여 개설되었다. 주 요 주제들은 기본 수치 분석법, 몬테-카를로 방법, 기초 신호 분석법, 병렬 처리, 신경망 방법 및 컴퓨터 기기들의 기본 개념 등이다.",141,,AI시대의 전산물리학I Computational Physics in the AI era I
PS4219,AI시대의 전산물리학 II,Computational Physics in the AI era II,PS4219,,자연과학대학 | 물리·광과학과,,3.0,3.0,0.0,물리·광과학과,False,False,"본 교과목은 “AI시대의 전산물리학Ⅰ”과 연결되는 과목으로서, 미분 방정식의 수치적 해법, 몬 테칼로 방법, 확률적 데이터의 측정오차 다루는 법, 그리고 물리학 연구에 응용되고 있는 범위 의 인공 신경망과 머신러닝에 대한 심화 지식을 교육하고 물리학과 3학년생이 배우는 범위의 양 자역학 및 통계물리학에 대한 문제로써 AI 적용 예를 실습한다.",143,,AI시대의 전산물리학II Computational Physics in the AI era II
GS2822,AI와 나,AI and I,GS2822,,기초교육학부 | GSC,,2.0,2.0,0.0,인문 선택,False,False,"4차산업혁명 시대의 핵심 기술 중 하나인 AI는 우리의 현실과 상상 속에 이미 다양한 형태로 침투해 있으나, 사실 우리는 AI 관련 기술에 대해 아는 것보다 모르는 것이 더 많다. 그럼에도, 인간 고유의 영역이라고 여겨지는 자율적 지성을 인공적으로 모방, 구현하는 AI기술의 성격상, 그것은 우리의 상상을 끊임없이 자극한다. 분명한 것은 AI기술이 이미 그리고 점점 더 우리의 삶에 근본적이고 돌이킬 수 없는 변화를 가져올 것이며, 궁극적으로 인간의 고유성에 대한 휴머 니즘의 신념도 그러한 변화를 피해갈 수 없으리라는 것이다. 이 강좌는 <AI와 나>라는 제목으로, 우선 AI기술의 수학적 기초에서 출발하여, AI 기술발전이 각자(‘나’)에게 미칠 영향을 다학제적으로 접근해보고, 더 나아가 AI가 자아 (‘나’)를 가질 수 있는가, 인간과 로봇의 경계는 (어디에) 있는가 등의 물음에 대해 인문학을 넘어 다학제적 고찰과 토론을 도모한다. <AI와 나 >는 수학, 문학, 경 제학, 법학, 과학기술학 전공 교수들과 함께 AI 관련 쟁점들을 탐구하는 다학제 융합 강좌이다.",87,,AI와 나 AI and I
HS4710,복잡계분석과 AI정책전략,Complex System Analysis and AI Policy and Strategy,HS4710,,기초교육학부 | PPE,,3.0,3.0,0.0,인문 선택,True,False,"컴퓨터가 대용량 데이터를 처리할 수 있게 된 이후와 데이터과학의 축이 인공지능으로 넘어가기 전 시기인 1990년대 말에서 2010년대 중반 사이, 데이터과학은 복잡계의 구조와 행태를 이해하는 데 주력하였다. 본 강의는 복잡계분석 방법론의 기반과 구현방식에 대한 이해를 도우며, AI정책전 략 연구에 적용하는 방안을 모색한다. 본 강의는 크게 네 부분으로 구성된다. 첫째, 복잡계 분석에 필요한 컴퓨팅, 알고리즘, 데이터처리 등의 기반 지식을 소개한다. 둘째, 복잡계 분석 방법론 가운 데 모델링 기법으로서 셀룰러오토마타, NK모형, 행위자기반모형, 시스템역학과 그 대표연구를 소개 한다. 셋째, 복잡계 분석 방법론 가운데 데이터 분석 기법으로서 관계분석, 구조분석, 진화분석, 회 귀분석, 구조실험과 그 대표연구를 소개한다. 넷째, 복잡계분석을 정책 및 전략 연구에 적용한 사 례들을 소개한다. 본 과제를 통해 학생은 복잡한 구조의 AI 정책 및 전략 문제를 복잡계 분석 방 법론으로 접근하는 연구를 설계하고 설계에 기반하여 실제 연구로 구현하는 역량을 확보한다.",112,복잡계분석과,AI정책전략 Complex System Analysis and AI Policy and Strategy
MM3101,현대대수학 1,Abstract Algebra 1,MM3101,,자연과학대학 | 수리과학과,,3.0,3.0,0.0,수리과학과,True,False,"이 과목은 현대대수학의 기본 개념이 되는 group theory, ring theory, 그리고 field theory에 대하여 배운다. 추상화를 좀 더 체계적으로 배우는 과목이며 여러 다른 분야에서 쓰이고 있는 group(군)이나 field(체)의 응용에 대해서 소개한다.",150,현대대수학1,Abstract Algebra 1
MM4101,현대대수학 2,Abstract Algebra 2,MM4101,,자연과학대학 | 수리과학과,,3.0,3.0,0.0,수리과학과,False,False,"이 과정은 추상대수학의 두 번째 강좌입니다. 주요 내용은 다음과 같습니다. 1. 고급 군론: 실로우 정리, 자유 아벨군; 2. 환론: 유클리드 정역, 주정역, 비정역, 다항식환, 기약환; 3. 체론: 체 확장, 수체, 갈루아 이론; 4. 대수기하학: 다양체, 힐베르트의 영점 정리, 기타 특수 주제",151,현대대수학 2,Abstract Algebra 2
CH3207,고급화학실험,Advanced Chemistry Lab,CH3207,,자연과학대학 | 화학과,,3.0,1.0,4.0,화학과,True,False,"이 과목은 물리화학과 분석화학에 기반한 다양한 실험을 통해 물질의 물리·화학적인 성질을 측 정하는 원리와 다양한 화학장비의 작동 원리 및 측정한 데이터의 분석법 등을 다룬다. FT-IR, Raman, 형광 등 기본적인 분광법과 전기화학적 분석을 통해 효소반응, 들뜬 상태 동력학 등 물질의 다양한 특성을 조사하며, 화학장비를 구성하는데 필요한 기본적인 장치의 구성 및 프로 그래밍/작동법 등을 다 룸으로써 화학분야의 다양한 연구를 수행하는데 필수적인 기본 지식/기 술을 얻을 수 있다.",146,고급화학실험,Advanced Chemistry Lab
EC3212,고급전자회로,Advanced Electronic Circuit,EC3212,,정보컴퓨팅대학 | 전기전자컴퓨터공학과,,3.0,3.0,0.0,전기전자컴퓨터공학과,False,True,"기본적인 MOS 트랜지스터의 동작을 리뷰하고 단일단 증폭기, cascode 증폭기, 차동 증폭기, operational amplifier등을 설계한다. 주파수 영역에서의 회로 특성을 분석한다. 피드백 회로에 서 주파수 응답 특성을 분석하고 위상 마진을 위한 주파수 보상 기법을 배운다. 트랜지스터 회 로의 비선형성 및 노이즈를 배우고 이를 줄이는 회로 기법을 배운다. 또한 안정적이 기준 전압 및 전류 발생 회로를 배운다.",118,고급전자회로,Advanced Electronic Circuit
PS4211,고급 역학,Advanced Mechanics,PS4211,,자연과학대학 | 물리·광과학과,,3.0,3.0,0.0,물리·광과학과,False,True,"본 강좌는 학사 고학년생과 대학원 물리 및 광과학과 1학년 과정을 위하여 개설하며 1) 최소 액 션의 원리 2) 특수 상대성 이론 3) stress tensor 의 kinetic theory를 배우고, 각운동량과 고 전 스핀과 양자스핀의 구분을 배운다.",142,고급 역학,Advanced Mechanics
EC4312,첨단반도체 소자,Advanced Semiconductor Devices,EC4312,,정보컴퓨팅대학 | 전기전자컴퓨터공학과,,3.0,3.0,0.0,전기전자컴퓨터공학과,False,False,"본 강좌는 반도체 소자의 관점에서 공정 개선, 기술 정의 방법론, 정보 처리의 진화를 이해하고, N세대 이후의 최첨단 반도체 소자를 다루는 것을 목표로 합니다. 초고속, 저전력, 비휘발성 메모리 소자, 뉴로모픽 소자, 다중값 논리 소자, 메모리 내 처리 또는 센서 등 인공지능에 사용되는 소자들을 포함합니다. 또한, 고급 패키징(후공정 및 이종 집적) 및 미래 기술(포토닉 집적 회로 및 극저온 CMOS)로의 확장을 위한 소자 기술의 현황과 전망도 살펴봅니다. 강좌 초반에는 N세대까지의 주요 논리/메모리 소자의 종류, 구조, 작동 원리 및 특성을 복습하고, 소자 관련 학계/산업계 용어를 설명하며, 대표적인 PPAC(성능/전력/면적/비용) 문제를 소개합니다.",124,첨단반도체 소자,Advanced Semiconductor Devices
PS4214,고급 양자 물리,Advanced quantum physics,PS4214,,자연과학대학 | 물리·광과학과,,3.0,3.0,0.0,물리·광과학과,False,True,이 과목은 학부의 양자물리를 공부한 학생들을 위한 고급 과목이다. 내용은 크게 네 가지 주제 로 이루어져 있다. 1) 양자역학에서의 대칭성과 군론의 응용 2) 파인만 경로 적분 방법을 이용한 양자역학의 이해 3) 상대론적 양자역학과 디락의 이론 4) 장의 양자화와 그것의 입자물리와 응집물질 물리에의 응용,142,고급 양자 물리,Advanced quantum physics
MD4403,노화 생물학,Aging Biology,MD4403,,생명·의과학융합대학 | 의생명공학과,,3.0,3.0,0.0,의생명공학과,True,False,"이 과정은 노화 과정과 관련된 근본적인 메커니즘과 이론을 탐구하여 노화의 생물학에 대한 심 층적인 이해를 제공하는 것을 목표로 한다. 이 과정에서는 노화의 분자세포생물학, 유전학 및 후성유전학 관점에서 이해하고, 노화 관련 질병 예방 및 치료하여 건강한 노화를 제공하기 위한 다양한 방법을 포함하는 최근 연구를 함께 다룬다.",188,,Aging Biology
EV4211,대기오염공학,Air Pollution Engineering,EV4211,,공과대학 | 환경·에너지공학과,,3.0,3.0,0.0,공과대학 | 환경·에너지공학과,False,False,"국민보건 영향과 사회경제적 피해를 야기하는 대기오염 유발 물질에 대한 기초적 지식과 오염물 질 발생, 측정 및 분석기술, 제거기술에 대 해 논의하고자 한다.",177,대기오염공학,Air Pollution Engineering
MM4502,해석적 정수론,Analytic Number Theory,MM4502,,자연과학대학 | 수리과학과,,3.0,3.0,0.0,수리과학과,False,False,"해석적 정수론은 실해석학과 복소해석학의 도구와 기법을 활용하여 소수와 관련된 함수의 성질을 연구합니다. 주요 주제로는 산술 함수의 평균값, 디리클레 급수와 오일러 곱, 그리고 리만 제타 함수 등이 있으며, 이를 통해 소수의 분포 및 기타 정수론적 문제들을 탐구합니다.",153,해석적 정수론,Analytic Number Theory
EV2208,분석화학,Analytical Chemistry,EV2208,,공과대학 | 환경·에너지공학과,,3.0,3.0,0.0,환경·에너지공학과,True,False,"본 과목은 화학과 과학의 여러 분야에서 사용되는 정성 분석과 정량 분석의 기본 원리에 대한 이해를 제공한다. 전반기에서는 과학적 측정을 통해 얻어지는 자료들을 해석하는 방법과 통계의 기본을 다룬다. 이후, 다양한 정성 분석 방법들의 배경 이론을 학습하고, 분석 화학이 화학 이외 의 생명 과학이나 환경 과학에서 응용되는 사례들을 공부한다.",172,분석화학,Analytical Chemistry
CH2101,분석화학 및 실험,Analytical Chemistry and Laboratory,CH2101,,자연과학대학 | 화학과,,4.0,2.0,2.0,화학과,True,False,"본 과목은 화학과 과학의 여러 분야에서 사용되는 정성 분석과 정량 분석의 기본 원리에 대한 이 해를 제공한다. 과학적 측정을 통해 얻어지는 자료들을 해석하는 방법과 통계의 기본을 소개하고, 산염기 반응, 산화환원과 전지의 원 리 및 응용 등 다양한 정성/정량 분석법들의 배경 이론을 학 습한다. 분석화학에서 익히는 이론 및 실험법은 모든 화학분야의 실험연구에 기초가 되며, 생명, 에너지, 환경 등 인접 분야의 교육 및 연구에도 매우 중요하게 활용된다.",144,분석화학 및 실험,Analytical Chemistry and Laboratory
