course_code,applies_from_admission_year,applies_to_admission_year,is_offered,is_required,category_override,subcategory_override,counting_policy,term_recommendation,prerequisites,corequisites,remarks,source_handbook_year
GS2006,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1001,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS2007,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1011,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS3001,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS2001,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS3012,2018,2020,TRUE,,,,,,,,course_type_raw=수학; department=; page=22,2020
GS2002,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS3015,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS2004,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS4002,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS4003,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS2013,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS4004,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1101,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS4005,2018,2020,TRUE,,,,,,,,course_type_raw=물리학; department=; page=22,2020
GS1103,2018,2020,TRUE,,,,,,,,course_type_raw=물리학; department=; page=22,2020
GS4006,2018,2020,TRUE,,,,,,,,course_type_raw=기초필수; department=; page=22,2020
GS1111,2018,2020,TRUE,,,,,,,,course_type_raw=기초필수; department=; page=22,2020
GS4007,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1201,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS4008,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1203,2018,2020,TRUE,,,,,,,,course_type_raw=화학; department=; page=22,2020
GS4009,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1211,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS4010,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1301,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS4015,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1302,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS4016,2018,2020,TRUE,,,,,,,,course_type_raw=생명; department=; page=22,2020
